O,D,Diff
1,236,-117
1,77,-108
10,236,-110
11,112,-162
11,113,-108
11,201,-107
11,204,-101
11,210,-133
11,211,-115
11,212,-212
11,213,-106
11,214,-103
11,215,-261
11,223,-234
11,224,-152
11,227,-188
11,228,-141
11,229,-150
11,230,-138
11,233,-141
11,235,-115
11,236,-269
11,239,-101
11,241,-107
11,294,-101
11,299,-101
11,316,-112
11,317,-111
11,318,-220
11,319,-124
11,320,-156
11,323,-190
11,324,-156
11,325,-112
11,327,-146
11,331,-137
11,332,-123
11,333,-198
11,334,-142
11,336,-158
11,340,-113
11,341,-50
11,353,-158
11,355,-102
11,356,-182
11,357,-144
11,358,-118
11,359,-141
11,360,-113
11,362,-118
11,366,-112
11,367,-175
11,369,-126
11,398,-103
11,408,-112
11,421,-166
11,422,-135
11,426,-112
11,467,-116
11,468,-114
11,492,-108
11,493,-128
11,495,-167
11,497,-117
11,502,-133
11,558,-120
11,71,-112
11,77,-368
110,261,-105
112,143,-110
112,261,-148
112,282,-114
113,261,-116
12,212,-104
12,215,-127
12,223,-114
12,236,-132
12,318,-105
12,77,-181
143,151,-202
143,155,-153
143,177,-104
143,212,-135
143,215,-153
143,223,-133
143,224,-110
143,227,-142
143,228,-113
143,229,-101
143,230,-119
143,232,-114
143,233,-140
143,235,-116
143,236,-258
143,239,-110
143,241,-112
143,318,-123
143,323,-140
143,324,-103
143,327,-120
143,331,-102
143,333,-158
143,334,-114
143,336,-128
143,356,-111
143,367,-109
143,421,-140
143,422,-141
143,424,-118
143,426,-159
143,430,-115
143,495,-117
143,696,-102
143,720,-108
144,155,-423
145,149,-123
145,154,-114
145,155,-538
146,151,-122
146,154,-210
146,155,-221
146,236,-129
146,422,-102
146,426,-104
147,153,-105
147,154,-135
147,155,-159
148,153,-256
148,154,-252
148,155,-185
16,221,-189
16,246,-106
163,424,-102
164,165,-107
164,424,-126
164,430,-123
172,424,-204
172,425,-127
172,430,-135
176,425,-121
177,424,-295
177,425,-220
177,430,-199
177,438,-118
177,441,-105
178,424,-164
178,425,-151
178,430,-128
178,961,-122
178,966,-101
179,261,-116
2,221,-193
2,246,-104
201,202,-3085
201,203,-576
201,206,-135
201,209,-218
201,210,-215
201,212,-103
201,215,-197
201,261,-127
202,204,-229
202,209,-458
202,210,-503
202,211,-341
202,212,-388
202,213,-299
202,214,-300
202,215,-620
202,223,-246
202,224,-121
202,228,-134
202,302,-112
202,304,-118
202,305,-115
202,307,-112
202,310,-102
202,312,-128
202,316,-203
202,317,-146
202,318,-229
202,319,-119
202,320,-138
202,321,-117
202,324,-113
202,442,-111
202,443,-145
203,209,-447
203,210,-500
203,211,-182
203,212,-200
203,213,-202
203,214,-182
203,215,-341
203,223,-100
203,303,-104
203,321,-113
204,207,-229
204,215,-218
204,261,-118
206,207,-134
206,208,-106
206,210,-158
206,211,-115
206,212,-230
206,213,-121
206,214,-135
206,215,-320
206,217,-428
206,223,-243
206,224,-132
206,228,-118
206,316,-140
206,317,-117
206,318,-230
206,319,-136
206,320,-170
206,321,-102
206,324,-112
207,210,-300
207,211,-300
207,212,-242
209,210,-363
209,211,-221
209,212,-187
209,213,-180
209,214,-144
209,215,-331
209,223,-103
21,212,-105
21,215,-117
21,223,-124
21,227,-119
21,230,-101
21,236,-175
21,318,-114
21,323,-114
21,333,-117
21,71,-118
21,77,-152
210,213,-361
210,214,-409
210,215,-741
210,232,-130
210,261,-151
210,303,-124
210,316,-162
210,318,-164
211,213,-270
211,214,-321
211,215,-691
211,232,-122
211,261,-139
211,303,-107
211,316,-130
211,318,-124
212,213,-200
212,214,-326
212,215,-694
212,216,-141
212,219,-106
212,232,-235
212,261,-265
212,263,-107
212,265,-113
212,303,-110
212,316,-131
212,318,-174
213,214,-435
213,215,-585
213,223,-177
213,261,-127
213,302,-50
213,303,-302
213,304,-148
213,305,-119
213,306,-116
213,307,-209
213,308,-167
213,309,-108
213,312,-113
213,313,-109
213,317,-132
213,318,-110
213,320,-108
213,321,-186
213,442,-124
213,443,-169
214,215,-1007
214,223,-232
214,224,-134
214,228,-106
214,229,-103
214,261,-125
214,303,-167
214,307,-144
214,316,-165
214,318,-174
214,319,-124
214,320,-146
214,321,-263
214,443,-113
215,216,-153
215,219,-101
215,223,-793
215,224,-390
215,226,-112
215,227,-150
215,228,-326
215,229,-305
215,230,-273
215,232,-214
215,236,-165
215,257,-104
215,260,-108
215,261,-314
215,263,-122
215,265,-131
215,302,-171
215,303,-410
215,304,-287
215,305,-216
215,306,-322
215,307,-492
215,308,-391
215,309,-252
215,310,-219
215,311,-392
215,312,-406
215,313,-309
215,314,-251
215,315,-260
215,316,-865
215,317,-443
215,318,-855
215,319,-385
215,320,-439
215,321,-700
215,322,-148
215,323,-226
215,324,-222
215,325,-219
215,326,-127
215,327,-199
215,328,-122
215,442,-218
215,443,-387
215,444,-175
215,445,-105
215,448,-112
215,449,-252
215,450,-236
215,467,-217
215,469,-145
215,470,-133
215,472,-176
215,473,-127
215,474,-124
215,476,-119
215,484,-110
215,489,-124
216,218,-190
216,222,-163
216,223,-141
216,318,-126
216,323,-108
219,220,-444
219,223,-113
219,228,-103
219,231,-162
219,232,-156
219,323,-119
22,221,-341
22,225,-107
22,236,-107
22,243,-105
22,246,-171
22,247,-138
22,77,-152
220,226,-146
222,226,-136
223,226,-132
223,232,-193
223,261,-291
223,263,-120
223,265,-125
223,316,-232
223,318,-424
224,226,-109
224,232,-195
224,261,-200
224,316,-118
224,318,-247
225,226,-824
225,232,-273
226,228,-116
226,323,-148
226,324,-130
227,232,-372
227,261,-225
227,263,-109
227,265,-112
227,318,-108
228,232,-177
228,261,-192
228,318,-187
229,232,-204
229,261,-167
229,316,-133
229,318,-232
230,232,-253
230,261,-161
230,316,-119
230,318,-225
231,232,-445
232,233,-366
232,234,-105
232,235,-129
232,236,-343
232,237,-958
232,239,-222
232,240,-119
232,241,-135
232,243,-121
232,246,-192
232,247,-309
232,256,-120
232,261,-120
232,318,-147
232,323,-207
232,324,-138
232,325,-102
232,332,-103
232,333,-144
232,334,-102
232,336,-135
232,353,-109
232,354,-116
232,356,-119
233,261,-218
233,263,-104
233,265,-107
235,261,-145
236,242,-113
236,257,-131
236,259,-102
236,260,-115
236,261,-329
236,263,-162
236,265,-167
236,282,-109
236,318,-125
237,239,-303
238,282,-150
239,261,-144
240,261,-161
241,261,-145
248,282,-172
249,282,-199
25,212,-131
25,215,-171
25,221,-119
25,222,-106
25,223,-148
25,225,-134
25,227,-152
25,228,-50
25,229,-105
25,230,-131
25,233,-109
25,235,-105
25,236,-241
25,241,-112
25,243,-114
25,246,-175
25,247,-137
25,318,-145
25,323,-152
25,324,-102
25,327,-136
25,331,-115
25,332,-50
25,333,-163
25,334,-136
25,336,-127
25,340,-103
25,356,-106
25,421,-107
25,492,-109
25,493,-112
25,495,-138
25,496,-109
25,497,-103
25,502,-116
25,77,-262
250,282,-109
251,261,-122
251,282,-332
252,282,-174
253,261,-138
253,282,-377
253,289,-103
254,282,-216
255,282,-101
256,261,-139
256,282,-110
256,290,-102
26,236,-123
26,77,-121
260,356,-128
261,262,-780
261,287,-160
261,294,-104
261,299,-111
261,312,-101
261,316,-136
261,317,-129
261,318,-260
261,319,-146
261,320,-185
261,321,-110
261,323,-226
261,324,-194
261,325,-142
261,326,-120
261,327,-168
261,331,-158
261,332,-146
261,333,-236
261,334,-169
261,336,-191
261,340,-253
261,341,-119
261,342,-118
261,350,-106
261,351,-110
261,353,-270
261,354,-211
261,355,-230
261,356,-345
261,357,-262
261,358,-227
261,359,-243
261,360,-240
261,361,-190
261,362,-236
261,365,-109
261,366,-104
261,367,-214
261,369,-159
261,370,-166
261,371,-129
261,372,-166
261,373,-111
261,374,-147
261,376,-109
261,378,-120
261,408,-123
261,421,-219
261,422,-130
261,467,-134
261,468,-128
261,473,-109
261,492,-126
261,493,-152
261,495,-190
261,497,-130
261,499,-108
261,501,-106
261,502,-149
261,539,-132
261,548,-117
261,558,-120
263,318,-107
263,323,-111
263,333,-105
263,340,-103
263,353,-143
263,355,-50
263,356,-170
263,357,-132
263,358,-101
265,318,-112
265,323,-114
265,333,-111
265,340,-120
265,353,-158
265,355,-114
265,356,-191
265,357,-144
265,358,-106
265,359,-103
265,360,-112
265,362,-104
27,236,-159
27,333,-104
27,77,-136
272,282,-105
279,282,-237
28,77,-104
282,283,-219
282,284,-304
282,285,-122
282,286,-156
282,287,-122
282,340,-110
282,353,-146
282,354,-113
282,355,-109
282,356,-155
282,357,-123
282,358,-104
282,359,-141
282,360,-127
282,362,-128
282,367,-164
285,290,-269
286,290,-427
287,290,-120
288,290,-121
289,355,-102
289,356,-130
289,357,-145
289,358,-120
289,359,-120
289,360,-157
289,361,-143
289,367,-103
29,215,-101
29,236,-136
29,246,-120
29,247,-102
29,77,-161
290,353,-145
290,355,-141
290,356,-164
290,357,-211
290,358,-165
290,359,-239
290,360,-298
290,361,-235
290,362,-163
290,363,-102
290,367,-188
290,369,-106
290,370,-119
290,372,-123
30,77,-101
302,303,-393
302,304,-289
302,305,-115
302,307,-319
302,308,-329
302,309,-145
302,313,-154
302,317,-123
302,320,-118
302,442,-114
302,443,-179
302,449,-149
303,304,-612
303,305,-565
303,306,-182
303,307,-410
303,308,-360
303,309,-392
303,310,-356
303,311,-352
303,312,-536
303,313,-288
303,314,-227
303,315,-326
303,316,-336
303,317,-492
303,318,-407
303,319,-139
303,320,-251
303,442,-398
303,443,-536
303,444,-260
303,445,-150
303,447,-130
303,448,-159
303,449,-143
303,450,-203
303,469,-149
303,470,-142
304,306,-150
304,316,-170
304,318,-192
305,306,-115
305,316,-119
305,318,-125
306,307,-204
306,308,-160
306,309,-103
306,310,-106
306,311,-125
306,312,-197
306,313,-138
306,314,-101
306,315,-122
306,316,-253
306,317,-193
306,318,-270
306,320,-143
306,442,-101
306,443,-160
307,316,-418
307,318,-408
308,316,-272
308,318,-318
309,316,-162
309,318,-170
31,215,-106
31,236,-159
31,333,-106
31,77,-153
310,316,-113
310,318,-127
311,316,-297
311,318,-278
312,316,-350
312,318,-318
313,316,-226
313,318,-238
314,316,-171
314,318,-180
315,316,-159
315,318,-156
316,317,-335
316,318,-919
316,319,-458
316,320,-563
316,321,-575
316,322,-112
316,323,-108
316,325,-149
316,327,-139
316,442,-129
316,443,-204
316,449,-204
316,450,-142
316,467,-138
316,469,-126
316,470,-113
316,472,-111
317,318,-337
318,319,-739
318,320,-700
318,321,-802
318,322,-159
318,323,-177
318,324,-183
318,325,-239
318,326,-130
318,327,-182
318,328,-113
318,442,-142
318,443,-255
318,444,-107
318,449,-211
318,450,-159
318,467,-197
318,469,-133
318,470,-118
318,472,-160
318,473,-102
318,476,-131
318,484,-108
318,489,-106
32,236,-130
32,77,-111
328,730,-127
34,158,-107
34,210,-123
34,211,-105
34,212,-198
34,215,-229
34,223,-205
34,224,-154
34,227,-214
34,228,-165
34,229,-132
34,230,-189
34,232,-125
34,233,-175
34,235,-162
34,236,-365
34,239,-116
34,240,-133
34,241,-171
34,316,-109
34,317,-120
34,318,-199
34,319,-109
34,320,-131
34,323,-218
34,324,-152
34,325,-127
34,326,-132
34,327,-191
34,331,-158
34,332,-144
34,333,-237
34,334,-196
34,335,-104
34,336,-188
34,340,-148
34,341,-122
34,342,-137
34,353,-105
34,354,-117
34,356,-163
34,357,-116
34,421,-154
34,422,-119
34,426,-175
34,467,-101
34,468,-125
34,474,-103
34,492,-149
34,493,-164
34,495,-183
34,496,-150
34,497,-136
34,499,-129
34,501,-109
34,502,-153
34,513,-108
34,77,-316
38,236,-107
38,421,-107
38,77,-174
41,236,-131
41,246,-109
41,77,-147
42,77,-159
420,425,-142
